Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2022,Both sexes,74 years,Waterford City and County,Number,1000
Population,2022,Both sexes,74 years,Westmeath,Number,686
Population,2022,Both sexes,74 years,Wicklow,Number,1126
Population,2022,Both sexes,74 years,Wexford,Number,1303
Population,2022,Both sexes,75 years,State,Number,35767
Population,2022,Both sexes,75 years,Cork City and Cork County,Number,4138
Population,2022,Both sexes,75 years,Clare,Number,1058
Population,2022,Both sexes,75 years,Cavan,Number,582
Population,2022,Both sexes,75 years,Carlow,Number,404
Population,2022,Both sexes,75 years,Dublin City,Number,3409
Population,2022,Both sexes,75 years,Donegal,Number,1407
Population,2022,Both sexes,75 years,Dún Laoghaire-Rathdown,Number,1836
Population,2022,Both sexes,75 years,Fingal,Number,1732
Population,2022,Both sexes,75 years,Galway City,Number,479
Population,2022,Both sexes,75 years,Galway County,Number,1443
Population,2022,Both sexes,75 years,Kildare,Number,1456
Population,2022,Both sexes,75 years,Kilkenny,Number,769
Population,2022,Both sexes,75 years,Kerry,Number,1418
Population,2022,Both sexes,75 years,Longford,Number,344
Population,2022,Both sexes,75 years,Louth,Number,916
Population,2022,Both sexes,75 years,Limerick City and County,Number,1548
Population,2022,Both sexes,75 years,Leitrim,Number,287
Population,2022,Both sexes,75 years,Laois,Number,579
Population,2022,Both sexes,75 years,Meath,Number,1250
Population,2022,Both sexes,75 years,Monaghan,Number,492
Population,2022,Both sexes,75 years,Mayo,Number,1271
Population,2022,Both sexes,75 years,Offaly,Number,606
Population,2022,Both sexes,75 years,Roscommon,Number,573
Population,2022,Both sexes,75 years,South Dublin,Number,1803
Population,2022,Both sexes,75 years,Sligo,Number,583
Population,2022,Both sexes,75 years,Tipperary,Number,1297
Population,2022,Both sexes,75 years,Waterford City and County,Number,1059
Population,2022,Both sexes,75 years,Westmeath,Number,634
Population,2022,Both sexes,75 years,Wicklow,Number,1114
Population,2022,Both sexes,75 years,Wexford,Number,1280
Population,2022,Both sexes,76 years,State,Number,33759
Population,2022,Both sexes,76 years,Cork City and Cork County,Number,3929
Population,2022,Both sexes,76 years,Clare,Number,976
Population,2022,Both sexes,76 years,Cavan,Number,514
Population,2022,Both sexes,76 years,Carlow,Number,412
Population,2022,Both sexes,76 years,Dublin City,Number,3195
Population,2022,Both sexes,76 years,Donegal,Number,1344
Population,2022,Both sexes,76 years,Dún Laoghaire-Rathdown,Number,1703
Population,2022,Both sexes,76 years,Fingal,Number,1660
Population,2022,Both sexes,76 years,Galway City,Number,504
Population,2022,Both sexes,76 years,Galway County,Number,1341
Population,2022,Both sexes,76 years,Kildare,Number,1245
Population,2022,Both sexes,76 years,Kilkenny,Number,725
Population,2022,Both sexes,76 years,Kerry,Number,1351
